縣市,案名,狀態,動工日期,(預計)完工日期,戶數,樓數,地址,Latitude,Longitude
雲林縣,[雲林] 東仁安居,"	興建",112/6/15,116/5/3,400,1,632雲林縣虎尾鎮大成商工,23.7162184,120.4242401
南投縣,[南投] 漳和安居,待開工,114/11/30,118/6/29,278,1,540南投縣南投市興和巷141弄83號,23.9119731,120.679384
南投縣,[南投] 公誠安居,"	興建",112/2/8,114/10/26,260,1,545南投縣埔里鎮德二街26號,23.9715614,120.9622567
南投縣,[南投] 竹山好室,待開工,114/6/1,116/10/1,172,1,557南投縣竹山鎮大智路821-1號,23.7491442,120.6806247
彰化縣,[彰化] 學士安居,"	興建",111/10/24,114/12/13,275,1,500彰化縣彰化市學士街1號,24.0812186,120.5626419
彰化縣,[彰化] 德美好室,"	興建",113/9/9,116/8/18,105,1,508彰化縣和美鎮和頭路226號,24.1163021,120.5010839
彰化縣,[彰化] 靜修好室A,待開工,114/8/29,116/11/30,80,1,510彰化縣員林市靜修路4號,23.962342,120.573535
彰化縣,[彰化] 靜修好室B,待開工,114/8/29,116/11/30,100,1,510彰化縣員林市靜修路7號,23.9628099,120.57391
彰化縣,[彰化] 溪湖好室,待開工,115/4/30,118/2/28,73,1,514彰化縣溪湖鎮大竹巷36號,23.9526019,120.477589
台中市,[台中] 南屯建功3號好宅,完工,"108/10/28	",113/3/5,98,1,台中市南屯區建功路85號,24.1363399,120.6080955
台中市,[台中] 南屯建功2號好宅,完工,109/9/30,113/3/5,91,1,臺中市南屯區嶺東南路139巷29號,24.1354772,120.6103352
台中市,[台中] 南屯建功1號好宅,完工,108/9/12,111/10/28,78,1,台中市南屯區春安三街225號,24.1354787,120.6078409
台中市,[台中] 育賢段(二期)好宅,完工,108/2/17,112/6/5,428,1,台中市太平區環中東路三段390號,24.1559477,120.7166738
台中市,[台中] 台中公園(一期)好宅,完工,108/4/2,112/5/6,802,1,台中市東區雙十路一段8之32號,24.14558,120.6868318
台中市,[台中] 三民好宅,完工,107/10/15,110/6/30,300,1,臺中市梧棲區文化路一段86號,24.2506671,120.5293128
台中市,[台中] 北屯好宅,完工,107/11/15,111/4/29,220,1,臺中市北屯區江興街85號、89號,24.1632742,120.6974067
台中市,[台中] 育賢段(一期)好宅,完工,106/8/12,109/6/29,300,1,臺中市太平區育賢路258號,24.158491,120.7171166
台中市,[台中] 長億好宅,完工,110/3/1,113/8/22,160,1,台中市太平區長億路300號,24.1145719,120.715078
台中市,[台中] 協園好宅,完工,110/3/16,113/9/3,100,1,台中市東區進化路232號,24.1505115,120.6945739
台中市,[台中] 區國安段(一期)好宅,完工,110/5/11,"113/9/10	",500,1,中市西屯區國安一路88號,24.1910583,120.6138995
台中市,[台中] 精科樂活好宅,完工,106/4/28,"108/8/27	",190,1,臺中市南屯區文山三街366號,24.1467854,120.6074468
台中市,[台中] 大里光正段一期,完工,"105/9/1	","	107/10/27",201,1,台中市大里區仁化路8號,24.0918442,120.7293297
台中市,[台中] 台糖公營學苑,完工,112/4/12,112/7/10,203,1,407台中市西屯區臺灣大道五段142號,24.1844179,120.5903678
台中市,[台中] 安康段一期,完工,104/11/9,107/3/20,200,1,420台中市豐原區永康路280號(東),24.2402809,120.7229538
台中市,[台中] 公園二期好宅,興建中,114/2/27,"115/12/31	",24,1,台中市東區雙十路一段8-11號,24.1451599,120.686897
台中市,[台中] 兆基好宅,興建中,112/6/9,116/12/31,13,1,408台中市南屯區保安十街150號,24.1482741,120.6084955
台中市,[台中] 明新安居,待開工,114/8/31,"117/10/18	",293,1,404台中市北區忠明路501巷14號,24.1637532,120.672822
